
1	|	How is our financial performance versus analyst estimates	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	mea	O	cmp	cmp
208	|	What are the revenue figures for APJ and EMEA in the last month	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	cmp	O	cmp	O	O	B_where	I_where
209	|	Compare the revenue figures for Germany and India in this year	|	FIN	|	Comparison	|	Numeric	|	O	O	mea	O	O	cmp	O	cmp	O	B_where	I_where
210	|	What is our revenue in Denmark this year	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	B_where	I_where
211	|	In this year how many countries have higher on-premise growth rates than 5 percent	|	FIN	|	Calculate	|	Numeric	|	O	B_where	I_where	O	oper	grpby	O	oper	B_where	mea	mea	O	cmp	cmp
212	|	In the last year which country has had the most cloud revenue	|	FIN	|	Lookup	|	Location	|	O	O	B_where	I_where	O	res	O	O	O	argm	B_where	mea
213	|	The cloud revenue growth rates are the biggest for which organization	|	FIN	|	Calculate	|	Location	|	O	B_where	mea	mea	mea	O	O	argm	O	O	res
214	|	Show the top 3 organization with the best cloud margins	|	FIN	|	Lookup	|	Location	|	O	O	argm	argm	res	O	O	O	B_where	mea
215	|	In which organization were the revenue numbers the biggest in the last 2 quarters	|	FIN	|	Lookup	|	Location	|	O	O	res	O	O	mea	O	O	argm	O	O	B_where	I_where	I_where
216	|	How many organizations are having positive profits	|	FIN	|	Lookup	|	Numeric	|	O	oper	grpby	O	O	oper	mea
217	|	For each quarter in the last year what was our cloud revenue	|	FIN	|	Lookup	|	Numeric	|	O	O	grpby	O	O	B_where	I_where	O	O	O	B_where	mea
218	|	What was our cloud revenue for each quarter in the last year	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	O	grpby	O	O	B_where	I_where
219	|	What are the revenue figures for every quarter in the last 2 years	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	O	grpby	O	O	B_where	I_where	I_where
220	|	Show our revenue figures for each quarter in 2016	|	FIN	|	Lookup	|	Numeric	|	O	O	mea	O	O	O	grpby	O	B_where
221	|	Show last years revenue figures	|	FIN	|	Lookup	|	Numeric	|	O	B_where	I_where	mea	O
222	|	What are last years revenue numbers in EMEA	|	FIN	|	Lookup	|	Numeric	|	O	O	B_where	I_where	mea	O	O	B_where
223	|	In 2016 what was our S4 revenue per market unit	|	FIN	|	Lookup	|	Numeric	|	O	B_where	O	O	O	B_where	mea	O	grpby	grpby
224	|	What was the revenue for HANA in each quarter of the last 4 quarters	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	O	O	grpby	O	O	B_where	I_where	I_where
225	|	Which country has generated the biggest profits for S4 in Q1 2017	|	FIN	|	Lookup	|	Location	|	O	res	O	O	O	argm	mea	O	B_where	O	B_where	I_where
226	|	What was the revenue for EMEA in 2015 compared to 2016	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	O	B_where	O	cmp	O	O	cmp
227	|	What was the revenue for 2016 between EMEA and APJ	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	O	B_where	O	cmp	O	cmp
228	|	What was the cloud profit for EMEA last year	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	B_where	B_where	I_where
229	|	What is the difference in software profit between America and Europe	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	O	B_where	mea	O	cmp	O	cmp
230	|	Which market unit had the most software revenue in 2014	|	FIN	|	Lookup	|	Location	|	O	res	res	O	O	argm	B_where	mea	O	B_where
231	|	Which region has generated the most service revenue for the combined last 4 quarters	|	FIN	|	Lookup	|	Location	|	O	res	O	O	O	argm	B_where	mea	O	O	O	B_where	I_where	I_where
232	|	What were the software profit growth rates between this year and last year	|	FIN	|	Comparison	|	Numeric	|	O	O	O	B_where	mea	mea	mea	O	cmp	cmp	O	cmp	cmp
233	|	What was the revenue for SAP HANA in Q2 2017	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	I_where	O	B_where	I_where
234	|	What was the software profit for SAP HANA between this quarter and last quarter	|	FIN	|	Comparison	|	Numeric	|	O	O	O	B_where	mea	O	B_where	I_where	O	cmp	cmp	O	cmp	cmp
235	|	What were last years software revenue figures between EMEA and APJ	|	FIN	|	Comparison	|	Numeric	|	O	O	B_where	I_where	B_where	mea	O	O	cmp	O	cmp
236	|	What was the on-premise revenue per product last year	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	grpby	B_where	I_where
237	|	Show us the on-premise revenue compared to the cloud	|	FIN	|	Comparison	|	Numeric	|	O	O	O	cmp	mea	O	O	O	cmp
238	|	What is the difference between software and cloud revenue in 2017	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	O	cmp	O	cmp	mea	O	B_where
239	|	Which market unit has caused the highest cloud costs in the last quarter	|	FIN	|	Lookup	|	Location	|	O	res	res	O	O	O	argm	B_where	mea	O	O	B_where	I_where
240	|	Tell us the top 3 organizations with the biggest software costs	|	FIN	|	Lookup	|	Location	|	O	O	O	argm	argm	B_where	O	O	argm	B_where	mea
241	|	What is the cloud profit for each organization in America	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	O	grpby	O	B_where
242	|	For each organization show the software revenue growth rates for the past 2 years	|	FIN	|	Calculate	|	Numeric	|	O	O	grpby	O	O	B_where	mea	mea	mea	O	O	B_where	I_where	I_where
243	|	What is the market unit with the biggest software costs	|	FIN	|	Lookup	|	Location	|	O	O	O	res	res	O	O	argm	B_where	mea
244	|	Compare the costs for EMEA and APJ	|	FIN	|	Comparison	|	Numeric	|	O	O	mea	O	cmp	O	cmp
245	|	Compare the revenue for SAP HANA and SAP ERP	|	FIN	|	Comparison	|	Numeric	|	O	O	mea	O	cmp	cmp	O	cmp	cmp
246	|	What is the difference in cloud and software profit for last year	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	O	cmp	O	cmp	mea	O	B_where	I_where
247	|	Which product has generated the biggest revenue last quarter	|	FIN	|	Lookup	|	Product	|	O	res	O	O	O	argm	mea	B_where	I_where
248	|	Show the cloud revenue per market unit in 2014	|	FIN	|	Lookup	|	Numeric	|	O	O	B_where	mea	O	grpby	grpby	O	B_where
249	|	Show the cloud revenue comparison of SAP USA and SAP Canada	|	FIN	|	Comparison	|	Numeric	|	O	O	B_where	mea	O	O	cmp	cmp	O	cmp	cmp
250	|	What is the comparison between cloud revenue and costs	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	O	B_where	cmp	O	cmp
251	|	Show all regions with double digits cloud revenue growth rates in 2016	|	FIN	|	Calculate	|	Location	|	O	O	res	O	oper	oper	B_where	mea	mea	mea	O	B_where
252	|	Tell us the organizations that had double digit profit growth rates last year	|	FIN	|	Calculate	|	Location	|	O	O	O	res	O	O	oper	oper	mea	mea	mea	B_where	I_where
253	|	Which region has the biggest share of our cloud revenue	|	FIN	|	Calculate	|	Location	|	O	res	O	O	argm	oper	O	O	B_where	mea
254	|	Show us the product with the biggest share of our software revenue	|	FIN	|	Calculate	|	Product	|	O	O	O	res	O	O	argm	oper	O	O	B_where	mea
255	|	What are the marketing costs between EMEA and Americas this year	|	FIN	|	Comparison	|	Numeric	|	O	O	O	B_where	mea	O	cmp	O	cmp	B_where	I_where
256	|	Compare the cloud revenue for Q3 2016 and Q3 2017	|	FIN	|	Comparison	|	Numeric	|	O	O	B_where	mea	O	cmp	cmp	O	cmp	cmp
257	|	What are the cloud margins for this quarter and Q4 2016	|	FIN	|	Comparison	|	Numeric	|	O	O	O	B_where	mea	O	cmp	cmp	O	cmp	cmp
258	|	Calculate the revenue growth rate differences between Germany and France	|	FIN	|	Comparison	|	Numeric	|	O	O	mea	mea	mea	O	O	cmp	O	cmp
259	|	Show the gross profit for each country	|	FIN	|	Lookup	|	Numeric	|	O	O	mea	mea	O	O	grpby
260	|	Tell us the differences between cloud revenue and costs	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	O	B_where	cmp	O	cmp
261	|	Which are the five biggest deals in our pipeline in Q1	|	SALE	|	Lookup	|	Sale	|	O	O	O	argm	argm	res	O	O	O	O	B_where
262	|	Which were the top three deals in the first quarter	|	SALE	|	Lookup	|	Sale	|	O	O	O	argm	argm	res	O	O	B_where	I_where
263	|	Which deals are in the pipeline for company Facebook	|	SALE	|	Lookup	|	Sale	|	O	res	O	O	O	O	O	O	B_where
264	|	Which deals are in the pipeline in Canada	|	SALE	|	Lookup	|	Sale	|	O	res	O	O	O	O	O	B_where
265	|	Which deals in the pipeline are higher than one million dollar	|	SALE	|	Lookup	|	Sale	|	O	res	O	O	O	O	oper	O	cmp	cmp	O
266	|	In which countries are our sales declining	|	SALE	|	Calculate	|	Location	|	O	O	res	O	O	B_where	oper
267	|	What is the sales number for product S4 in this month	|	SALE	|	Lookup	|	Numeric	|	O	O	O	B_where	oper	O	O	B_where	O	B_where	I_where
268	|	Who is the top salesperson for this quarter	|	SALE	|	Lookup	|	Person	|	O	O	O	argm	res	O	B_where	I_where
269	|	Who was the salesperson with the highest revenue last month	|	SALE	|	Lookup	|	Person	|	O	O	O	res	O	O	argm	mea	B_where	I_where
270	|	Which salesperson has the most closed deals	|	SALE	|	Lookup	|	Person	|	O	res	O	O	argm	B_where	O
271	|	Who was the bottom salesperson last quarter	|	SALE	|	Lookup	|	Person	|	O	O	O	argm	res	B_where	I_where
272	|	Which were the bottom five salespersons last quarter	|	SALE	|	Lookup	|	Person	|	O	O	O	argm	argm	res	B_where	I_where
273	|	Who were the top performing salesmen last year	|	SALE	|	Lookup	|	Person	|	O	O	O	argm	O	res	B_where	I_where
274	|	What is the sales forecast for China	|	SALE	|	Calculate	|	Numeric	|	O	O	O	mea	mea	O	B_where
275	|	What does the sales forecast for EMEA look like	|	SALE	|	Calculate	|	Numeric	|	O	O	O	mea	mea	O	B_where	O	O
276	|	Which employee has generated the biggest revenue	|	SALE	|	Lookup	|	Person	|	O	res	O	O	O	argm	mea
277	|	What are the sale numbers for Michael Scott	|	SALE	|	Lookup	|	Numeric	|	O	O	O	B_where	oper	O	B_where	I_where
278	|	Which employees have over fulfilled their quotas	|	SALE	|	Lookup	|	Person	|	O	res	O	oper	oper	O	cmp
279	|	How many employees have over achieved their sales quota	|	SALE	|	Lookup	|	Numeric	|	O	oper	O	O	oper	oper	O	cmp	cmp
280	|	Which salesmen have over achieved their goal	|	SALE	|	Lookup	|	Person	|	O	res	O	oper	oper	O	cmp
281	|	What is the percentage of salesmen that did not reach their sales goal	|	SALE	|	Calculate	|	Numeric	|	O	O	O	oper	O	O	O	O	O	O	O	O	O
282	|	What are the sale numbers for APJ	|	SALE	|	Lookup	|	Numeric	|	O	O	O	B_where	oper	O	B_where
283	|	Show sale numbers in Brazil	|	SALE	|	Lookup	|	Numeric	|	O	B_where	oper	O	B_where
284	|	Show the sale numbers for Brazil	|	SALE	|	Lookup	|	Numeric	|	O	O	B_where	oper	O	B_where
285	|	What is the current quote to close ratio	|	SALE	|	Calculate	|	Numeric	|	O	O	O	O	mea	mea	mea	mea
286	|	What is the sales target for this year	|	SALE	|	Lookup	|	Numeric	|	O	O	O	mea	mea	O	B_where	I_where
287	|	How many opportunities are currently in the pipeline	|	SALE	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	O	O	O
288	|	Show us the sale bookings for the last quarter	|	SALE	|	Lookup	|	Sale	|	O	O	O	B_where	I_where	O	O	B_where	I_where
289	|	What was the average profit margin for sales in the last two quarters	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	mea	mea	O	B_where	O	O	B_where	I_where	I_where
290	|	What was the biggest deal in the last month	|	SALE	|	Lookup	|	Sale	|	O	O	O	argm	res	O	O	B_where	I_where
291	|	How many cloud customers do we have in France	|	SALE	|	Lookup	|	Numeric	|	O	oper	B_where	grpby	O	O	O	O	B_where
292	|	Show us the number of customers for S4	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	grpby	O	B_where
293	|	Which companies consider to buy a Boardroom license in the US	|	SALE	|	Lookup	|	Company	|	O	res	O	O	B_where	O	B_where	O	O	O	B_where
294	|	Which companies want to buy a Boardroom license in the US	|	SALE	|	Lookup	|	Company	|	O	res	O	O	B_where	O	B_where	O	O	O	B_where
295	|	Which company thinks about buying a Boardroom license in the US	|	SALE	|	Lookup	|	Company	|	O	res	O	O	B_where	O	B_where	O	O	O	B_where
296	|	How many missed opportunities did we had last quarter	|	SALE	|	Lookup	|	Numeric	|	O	oper	B_where	I_where	O	O	O	B_where	I_where
297	|	What is the cloud bookings target in America for the next two quarters	|	SALE	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	mea	O	B_where	O	O	B_where	I_where	I_where
298	|	Which are the top market units regarding cloud bookings	|	SALE	|	Lookup	|	Location	|	O	O	O	argm	res	res	O	B_where	B_where
299	|	What is the volume of all missed opportunities in the last quarter	|	SALE	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	I_where	O	O	B_where	I_where
300	|	How many customers do we have for HANA	|	SALE	|	Lookup	|	Numeric	|	O	oper	grpby	O	O	O	O	B_where
301	|	How many cloud customers do we have in North America	|	SALE	|	Lookup	|	Numeric	|	O	oper	B_where	grpby	O	O	O	O	B_where	I_where
302	|	How many customers have bought S4 in the last quarter	|	SALE	|	Lookup	|	Numeric	|	O	O	grpby	O	B_where	B_where	O	O	B_where	I_where
303	|	How many new customers did we won in the last quarter	|	SALE	|	Lookup	|	Numeric	|	O	O	O	grpby	O	O	B_where	O	O	B_where	I_where
304	|	What is the number of customers for HANA in Canada	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	grpby	O	B_where	O	B_where
305	|	How many customers have bought HANA in France	|	SALE	|	Lookup	|	Numeric	|	O	oper	grpby	O	B_where	B_where	O	B_where
306	|	Which customers have bought S4 and consider to buy HANA as well	|	SALE	|	Lookup	|	Company	|	O	res	O	B_where	B_where	O	O	O	B_where	B_where	O	O
307	|	Who has bought HANA in the last quarter	|	SALE	|	Lookup	|	Company	|	O	O	B_where	B_where	O	O	B_where	I_where
308	|	Which companies consider buying SAP Ariba	|	SALE	|	Lookup	|	Company	|	O	res	O	B_where	B_where	I_where
309	|	Which companies have bought HANA last quarter	|	SALE	|	Lookup	|	Company	|	O	res	O	B_where	B_where	B_where	I_where
310	|	What is the number of customers that have bought SAP Concur	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	grpby	O	O	B_where	B_where	I_where
311	|	What is the amount of companies that have bought HANA	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	grpby	O	O	B_where	B_where
312	|	What is the difference in revenue between best and worst salesman	|	SALE	|	Comparison	|	Numeric	|	O	O	O	O	O	mea	O	cmp	O	cmp	B_where
313	|	What is the number of sold HANA licences in the last quarter	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	B_where	O	O	O	B_where	I_where
314	|	How often was HANA sold in the last 3 months	|	SALE	|	Lookup	|	Numeric	|	O	oper	O	B_where	B_where	O	O	B_where	I_where	I_where
315	|	What are the sale numbers for the Digital Boardroom	|	SALE	|	Lookup	|	Numeric	|	O	O	O	B_where	oper	O	O	B_where	I_where
316	|	Which companies are in the pipeline for HANA	|	SALE	|	Lookup	|	Company	|	O	res	O	O	O	O	O	B_where
317	|	Which region has the highest sale numbers for product R3	|	SALE	|	Lookup	|	Location	|	O	res	O	O	argm	B_where	oper	O	O	B_where
318	|	How many opportunities have led to contracts last year	|	SALE	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	O	O	B_where	I_where
319	|	What is the number of opportunities that have not resulted in contracts last quarter	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	O	O	O	O	O	O	O	O
320	|	Which country in APJ has the highest sales numbers	|	SALE	|	Lookup	|	Location	|	O	res	O	B_where	O	O	argm	B_where	oper
321	|	What is the number of sales for the end of first quarter	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	O	O	B_where	I_where	I_where	I_where
322	|	What are the numbers compared to the sales in the same quarter last year	|	SALE	|	Comparison	|	Numeric	|	O	O	O	oper	O	O	O	B_where	O	O	B_where	I_where	I_where	I_where
323	|	What are the sale numbers compared to the first quarters in the last four years	|	SALE	|	Comparison	|	Numeric	|	O	O	O	B_where	oper	O	O	O	cmp	cmp	O	O	cmp	cmp	cmp
324	|	What are the sale numbers compared to the last months	|	SALE	|	Comparison	|	Numeric	|	O	O	O	B_where	oper	O	O	O	B_where	I_where
325	|	What are the sale numbers compared to the fourth quarter last year	|	SALE	|	Comparison	|	Numeric	|	O	O	O	B_where	oper	O	O	O	B_where	I_where	I_where	I_where
326	|	What are the compared sales numbers between the fourth quarter of this and last year	|	SALE	|	Comparison	|	Numeric	|	O	O	O	O	B_where	oper	O	O	B_where	I_where	I_where	I_where	O	B_where	I_where
327	|	Show the sale numbers for the fourth quarter of the past 3 years	|	SALE	|	Comparison	|	Numeric	|	O	O	B_where	oper	O	O	B_where	I_where	O	O	B_where	I_where	I_where
328	|	What are the sale numbers for the past 3 first quarters	|	SALE	|	Comparison	|	Numeric	|	O	O	O	B_where	oper	O	O	B_where	I_where	I_where	I_where
329	|	Show the sale numbers compared to the end of last months	|	SALE	|	Comparison	|	Numeric	|	O	O	B_where	oper	O	O	O	B_where	I_where	I_where	I_where
330	|	How many opportunities have led to contracts since last quarter	|	SALE	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	O	O	B_where	I_where	I_where
331	|	What is the number of sales for HANA in the last two quarters	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	O	B_where	O	O	B_where	I_where	I_where
332	|	How many HANA licenses were sold within the last month	|	SALE	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	B_where	O	O	B_where	I_where
333	|	Which product was sold the most in the United States	|	SALE	|	Lookup	|	Product	|	O	res	O	B_where	O	argm	O	O	B_where	I_where
334	|	Which is the top selling product in Argentina	|	SALE	|	Lookup	|	Product	|	O	O	O	argm	B_where	res	O	B_where
335	|	Show us our top selling products across the whole company	|	SALE	|	Lookup	|	Product	|	O	O	O	argm	B_where	res	O	O	O	O
336	|	Show the top five selling products in Germany during the last year	|	SALE	|	Lookup	|	Product	|	O	O	argm	argm	B_where	res	O	B_where	O	O	B_where	I_where
337	|	Compared to last year how many deals were closed	|	SALE	|	Comparison	|	Numeric	|	O	O	cmp	cmp	O	oper	O	O	B_where
338	|	As of now how many closed deals do we have	|	SALE	|	Lookup	|	Numeric	|	O	O	O	O	oper	B_where	O	O	O	O
339	|	How many companies have bought Business Objects Cloud compared to last year	|	SALE	|	Comparison	|	Numeric	|	O	oper	grpby	O	O	B_where	I_where	I_where	O	O	cmp	cmp
340	|	In which region are the most companies in the pipeline for HANA	|	SALE	|	Lookup	|	Location	|	O	O	res	O	O	argm	grpby	O	O	O	O	B_where
341	|	How many boardroom units were sold in the last quarter	|	SALE	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	B_where	O	O	B_where	I_where
342	|	What is the number of sold S4 units in the last year	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	B_where	O	O	O	B_where	I_where
343	|	How many units were sold by John Schneider in the last three quarters	|	SALE	|	Lookup	|	Numeric	|	O	oper	O	O	B_where	O	B_where	I_where	O	O	B_where	I_where	I_where
344	|	Which employee has sold the most boardroom units in the last year	|	SALE	|	Lookup	|	Person	|	O	res	O	B_where	O	argm	B_where	O	O	O	B_where	I_where
345	|	Which employee has the highest number of sold units in the last six months	|	SALE	|	Lookup	|	Person	|	O	res	O	O	argm	oper	O	B_where	O	O	O	B_where	I_where	I_where
346	|	What is the number of sold S4 units in North America	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	B_where	O	O	B_where	I_where
347	|	Which product has had the highest number of sold units	|	SALE	|	Lookup	|	Product	|	O	res	O	O	O	argm	oper	O	B_where	O
348	|	What is the product with the highest selling number in Italy	|	SALE	|	Lookup	|	Product	|	O	O	O	res	O	O	argm	B_where	oper	O	B_where
349	|	Which deal in the pipeline has the biggest contract volume	|	SALE	|	Lookup	|	Sale	|	O	res	O	O	O	O	O	argm	O	mea
350	|	Show all deals in the pipeline for Brazil	|	SALE	|	Lookup	|	Sale	|	O	O	res	O	O	O	O	B_where
351	|	Show all opportunities in the pipeline for Argentina	|	SALE	|	Lookup	|	Sale	|	O	O	B_where	O	O	O	O	B_where
352	|	Show us all opportunities in the pipeline for company Volkswagen	|	SALE	|	Lookup	|	Sale	|	O	O	O	B_where	O	O	O	O	O	B_where
353	|	For which company do we have the most opportunities in the pipeline	|	SALE	|	Lookup	|	Company	|	O	O	res	O	O	O	O	argm	B_where	O	O	O
354	|	Which company generated the most revenue in the last year	|	SALE	|	Lookup	|	Company	|	O	res	O	O	argm	mea	O	O	B_where	I_where
355	|	Which market units have rising sale numbers	|	SALE	|	Lookup	|	Location	|	O	res	res	O	oper	B_where	oper
356	|	Which market units have the highest close ratio	|	SALE	|	Calculate	|	Location	|	O	res	res	O	O	argm	B_where	mea
357	|	Which region has the lowest quote to close ratio	|	SALE	|	Calculate	|	Location	|	O	res	O	O	argm	mea	mea	mea	mea
358	|	Which employees have the highest number of sealed contracts	|	SALE	|	Lookup	|	Person	|	O	res	O	O	argm	oper	O	B_where	O
359	|	Show all employees that have a higher close ratio than 80 percent	|	SALE	|	Calculate	|	Person	|	O	O	res	O	O	O	oper	mea	mea	O	cmp	cmp
360	|	How many employees have generated contract values of more than 10 million	|	SALE	|	Lookup	|	Numeric	|	O	oper	O	O	O	O	mea	O	oper	O	cmp	cmp
361	|	Which employees have a higher contract volume of 5 million dollars	|	SALE	|	Lookup	|	Person	|	O	res	O	O	oper	O	mea	O	cmp	cmp	O
362	|	How many companies have resigned from their contracts in the last year	|	SALE	|	Lookup	|	Company	|	O	oper	grpby	O	B_where	O	O	O	O	O	B_where	I_where
363	|	What is the number of companies that have resigned during the last half year	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	grpby	O	O	B_where	O	O	B_where	I_where	I_where
364	|	Which company has resigned the highest contract volume in the last 6 quarters	|	SALE	|	Lookup	|	Company	|	O	res	O	B_where	O	argm	O	mea	O	O	B_where	I_where	I_where
365	|	What was the customer loyalty in the last year	|	SALE	|	Calculate	|	Numeric	|	O	O	O	mea	mea	O	O	B_where	I_where
366	|	Which companies have resigned from their contracts within the last 2 quarters	|	SALE	|	Lookup	|	Company	|	O	res	O	B_where	O	O	O	O	O	O	B_where	I_where
367	|	What is the current sales number compared to 2016	|	SALE	|	Comparison	|	Numeric	|	O	O	O	O	B_where	oper	O	O	cmp
368	|	Which quarter has had the highest sale numbers last year	|	SALE	|	Lookup	|	Numeric	|	O	res	O	O	O	argm	B_where	oper	B_where	I_where
369	|	What is the total contract volume for Nestle	|	SALE	|	Lookup	|	Numeric	|	O	O	O	O	mea	mea	O	B_where
370	|	Which company has the highest contract volume	|	SALE	|	Lookup	|	Company	|	O	res	O	O	argm	O	mea
371	|	Which companies have higher contract volumes than 250 million	|	SALE	|	Lookup	|	Company	|	O	res	O	oper	O	mea	O	cmp	cmp
372	|	Tell us the number of companies that have bought HANA in the last year	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	grpby	O	O	B_where	B_where	O	O	B_where	I_where
373	|	How many customers have bought a cloud product	|	SALE	|	Lookup	|	Numeric	|	O	oper	grpby	O	B_where	O	B_where	O
374	|	How many customers do we have for our cloud products	|	SALE	|	Lookup	|	Numeric	|	O	oper	grpby	O	O	O	O	O	B_where	O
375	|	Which customers have bought a Hana license in the last 3 months	|	SALE	|	Lookup	|	Company	|	O	res	O	B_where	O	B_where	O	O	O	B_where	I_where	I_where
376	|	What are the HANA growth rates	|	SALE	|	Calculate	|	Numeric	|	O	O	O	B_where	mea	mea
377	|	Show us the growth rates for HANA	|	SALE	|	Calculate	|	Numeric	|	O	O	O	mea	mea	O	B_where
378	|	Show us our products with the highest growth rates	|	SALE	|	Calculate	|	Product	|	O	O	O	res	O	O	argm	mea	mea
379	|	Which companies have bought a HANA license in France	|	SALE	|	Lookup	|	Company	|	O	res	O	B_where	O	B_where	O	O	B_where
380	|	Which employee has the highest quote to close ratio	|	SALE	|	Calculate	|	Person	|	O	res	O	O	argm	mea	mea	mea	mea
381	|	Which salesman has had the most closed deals in the last half year	|	SALE	|	Lookup	|	Person	|	O	res	O	O	O	argm	B_where	O	O	O	B_where	I_where	I_where
382	|	Which person had the lowest number of closed deals in the last quarter	|	SALE	|	Lookup	|	Person	|	O	res	O	O	argm	oper	O	B_where	O	O	O	B_where	I_where
383	|	How many customers do we have in China	|	SALE	|	Lookup	|	Numeric	|	O	oper	grpby	O	O	O	O	B_where
384	|	What is the number of customers that we have in South Africa	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	grpby	O	O	O	O	B_where	I_where
385	|	What is our pipeline for EMEA	|	SALE	|	Lookup	|	Sale	|	O	O	O	O	O	B_where
386	|	Show us our cloud pipeline for Russia	|	SALE	|	Lookup	|	Sale	|	O	O	O	B_where	O	O	B_where
387	|	What does our pipeline looks like per region	|	SALE	|	Lookup	|	Sale	|	O	O	O	O	O	O	O	grpby
388	|	Show the pipeline per region	|	SALE	|	Lookup	|	Sale	|	O	O	O	O	grpby
389	|	Show the on-premise pipeline per region	|	SALE	|	Lookup	|	Sale	|	O	O	B_where	O	O	grpby
390	|	How many leads do we have in America	|	SALE	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	O	O	B_where
391	|	What is the percentage of leads in the pipeline	|	SALE	|	Calculate	|	Numeric	|	O	O	O	oper	O	B_where	O	O	O
392	|	What is the percentage of leads that turned into opportunities	|	SALE	|	Calculate	|	Numeric	|	O	O	O	oper	O	B_where	O	O	O	B_where
393	|	What is the percentage of opportunities that have led into a closed deal	|	SALE	|	Calculate	|	Numeric	|	O	O	O	oper	O	B_where	O	O	O	O	O	B_where	O
394	|	Tell us the number of opportunities that we currently have in Sweden	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	O	O	O	O	O	B_where
395	|	Tell us the number of items that are in the opportunity stage	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	O	O	O	O	O	B_where	O
396	|	What are the new cloud booking numbers per market unit	|	SALE	|	Lookup	|	Numeric	|	O	O	O	O	B_where	B_where	oper	O	grpby	grpby
397	|	What is the number of closed deals per country	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	O	O	grpby
398	|	What is the quarterly trend of closed deals	|	SALE	|	Lookup	|	Numeric	|	O	O	O	grpby	O	O	B_where	O
399	|	What are our top market units regarding cloud revenue	|	SALE	|	Lookup	|	Location	|	O	O	O	argm	res	res	O	B_where	mea
400	|	What are the weakest market units related to our service revenue	|	SALE	|	Lookup	|	Location	|	O	O	O	argm	res	res	O	O	O	B_where	mea
401	|	Which employee has sealed the biggest deal in the last quarter	|	SALE	|	Lookup	|	Person	|	O	res	O	B_where	O	argm	O	O	O	B_where	I_where
402	|	Which salesman has closed the biggest deal in Italy for this year	|	SALE	|	Lookup	|	Person	|	O	res	O	B_where	O	argm	O	O	B_where	O	B_where	I_where
403	|	In which region do we have the most opportunities	|	SALE	|	Lookup	|	Location	|	O	O	res	O	O	O	O	argm	B_where
404	|	In which countries do we have the biggest opportunities	|	SALE	|	Lookup	|	Location	|	O	O	res	O	O	O	O	argm	B_where
405	|	Which region holds the biggest opportunities	|	SALE	|	Lookup	|	Location	|	O	res	O	O	argm	B_where
406	|	Which country holds the biggest opportunity	|	SALE	|	Lookup	|	Location	|	O	res	O	O	argm	B_where
407	|	Which regions promises the biggest leads	|	SALE	|	Lookup	|	Location	|	O	res	O	O	argm	B_where
408	|	Which region is the most promising regarding closed deals in this year	|	SALE	|	Lookup	|	Location	|	O	res	O	O	argm	O	O	B_where	O	O	B_where	I_where
